ID,Name,Disciplines,Abstract,Keywords
5ff35a08-3f5b-474c-ab5d-ef4dfe2afe2a,Role of cyclic AMP dependent protein kinase A PKA in regulation of endothelial barrier during development and homeostasis of vascular system ,"['030116', '030128', '030132', '030199', '030399', '030403', '030499', '030616', '030628', '030632', '030699', '039999']", p Endothelial cells which cover the internal surface of blood vessels perform a multitude of functions to maintain homeostasis of our body One of these functions is to control the passage of solutes and blood cells from the blood into the surrounding tissue the so called barrier function The permeability of this barrier changes under physiological and pathological conditions e g injury wound healing inflammation shock ischemia and cancer Uncontrolled breakdown of the endothelial barrier or dramatic increase of its permeability is life threatening and pharmacological correction of endothelial barrier function is essential for treatment of conditions such as shock allergic reaction and edema However our understanding of endothelial barrier regulation is far from complete Here we propose to study animal models of a key mediator of cellular functions the cAMPdependent protein kinase A PKA in vascular development and function Using these models we aim to reveal the cellular and molecular mechanisms of PKA in regulating endothelial barrier function in vivo Additionally we will establish whether and how altered endothelial barrier function contributes to defects in vascular development which occur under the inhibition of endothelial PKA Successful completion of this work will advance the understanding of the regulation of vascular function and will hopefully uncover new therapeutic opportunities for disease involving vascular dysfunctions p ,['Clisch AMP afhankelijk prote ne']
b6e5fe56-77b4-4143-a9d6-f46f13d5f25b,Optimizing treatment of IBD patients with anti TNFalpha biopharmaceuticals via pharmacokinetic monitoring of trough levels and calculating the cost effectiveness of this trough level based therapy ,[],,['IBD patients']
4951cbd6-ed1b-47b9-b5be-0d55e013ef55,Accounting research in private firms connecting the lone wolves,['05020201'],Contrary to what academic research has long assumed shareholders and potential investors are not always able to obtain reliable financial information from private companies directly Since this might prevent them from investing in these companies financial reporting is also essential for this group of companies Given the large share of non listed companies in our economy academic research in this field is very relevant However up to now mainly individual researchers focused on this research domain which puts a brake on the challenges that are being faced With this scientific research community a first step is taken to bring lonely wolves within the accounting domain together in order to set up inter national collaborations that enable us to meet the challenges as a group This scientific research group focuses specifically on the following research challenges 1 The development of a broad theoretical framework on the role of accounting in private companies 2 The development of a conceptual model on how management the board of directors shareholders and other stakeholders interact with the accountant and or auditor 3 Building a unique international database with financial ownership and accounting data of private companies ,"['accounting and auditing', 'corporate governance', 'Private family firms']"
23a27a22-204c-462b-92aa-e973681860d2,Waste from companies as a secondary source,"['010407', '010703', '010701']", p The project objective is to compile different methods to improve collection of WEEE from household waste under different circumstances in the EU and spread this information throughout the target audience businesses other organisations concerning WEEE and Electrical and Electronic Equipment EEE production The dissemination of the information is set within raising awareness at large towards the secondary raw materials sector The dissemination of the information is by workshops These workshops will be tested duringthe dissemination and business models of giving these workshops will be tested The target end customers and key beneficiaries of this educational activity are on one side the businesses who can remove obsolete EEE and WEEE at lower cost or more income and on another side the recycling remanufacturing and repair businesses who need more W EEE as an input The major contribution to the target audience is lowering the collection costs municipals and organise more input for processing recylcling remanufacturing and repair The scope of the project is to compile different methods to improve collection WEEE from businesses and spread this information to the target audience The key deliverables are a website with an overview of these methods for separate EEE WEEE collection in businesses workshops for at least 200 companies and a document on best practices how to give these workshops and a business model for these workshops for the KIC LE The website will also be a platform for businesses to connect with each other to exchange EEE WEEE and to benchmark with other businesses The main impact is to lower the costs of WEEE disposal for businesses increase the amount of WEEE for recycling and EEE for repair and remanufacturing companies p ,['waste']
24645bc5-8b22-4180-95e9-16e4e969770d,Protein misfolding in Charcot Marie Tooth disease type 1A opening the gates for cathepsin B and peripheral nerve demyelination ,"['03012204', '03012305']",This project describes a novel target in the pathology Charcot Marie Tooth disease type 1A CMT1A caused by a duplication of the PMP22 gene CMT1A is a disease of peripheral nerve demyelination with an altered Schwann cell phenotype and significant changes in the extracellular matrix the endoneurium In CMT1A Schwann cells high levels of misfolded PMP22 aggregates have been observed in association with lysosomes I aim to show that this leads to rupture of lysosomal membranes and causes the release of cathepsin B a cysteine protease capable of breaking down components of the Schwann cell basal membrane including collagen IV and laminin 211 Interestingly binding of both collagen IV and laminin 211 to Gpr126 a G protein coupled receptor in the Schwann cell membrane is important to stimulate axonal myelination Hence I hypothesize that the degradation of these key basal lamina components leads to a decreased Gpr126 pathway activation which in turn implies a change in gene expression and Schwann cell phenotype a reduction in myelination and an altered composition of the endoneurium produced by Schwann cells My project aims to identify the role of cathepsin B in this disease in which I am the first to link the Schwann cell defects demyelination and the alterations in the endoneurium both responsible in CMT1A pathology ,"['DENTO MAXILLO FACIAL', 'STEM CELLS']"
edec61a6-4d28-4e99-b58d-46faddbdf9a9,Long term relationships between exposure to sexual media contents and young people 39 s sexual development A 5 and 10 year recontact study,['059999'], p This study aims to take an important next step in the research into effects of sexual media content on young people s development Two adolescent samples that participated in two large scale panel studies will be recontacted after 5 and 10 years In 2016 they will have reached emerging adulthood The original panel studies made considerable contributions to the staple of research that focused on the effects of sexually themed media use on adolescents However sexual media effects are not confined to adolescence and examining these kinds of media effects in emerging adulthood is warranted as well Moreover literature provides several premises of prolonged media effects as p ol li scholars often assume that media effects that occur during adolescence have important consequences in later life and li li theories on which sexual effects research mostly relies also emphasize a long term perspective When considering the above studies combining these age groups are required but to our knowledge non existent li ol p By conducting a double recontact study this project aims at understanding the long term effects if any of adolescent exposure to sexual content on emerging adults sexual risk behaviors sexual well being and attitudes towards and involvement in sexually offensive behavior Besides this contribution the project innovates by using a recontact design which has not yet been applied within sexual effects research and its combination of quantitative and qualitative methods p ,"['Long term relationships', 'sexual development', 'sexual media contents']"
bd7506e7-ccdf-426a-9e28-54a7292ece37,PISA project,"['050399', '050304', '050301', '050302', '050308']", p Flanders adopted since the first cycle of PISA 2000 part PISA stands for 34 OECD Program on International Student Assessment It examines random and anomien the performance of 15 year old students in three domains reading mathematical and scientific literacy In the PISA 2009 survey is reading the 39 39 major 39 39 domain mathematics and science form the minors For the first time will read are the major domain of PISA since PISA 2000 which means that to be carried out in depth trend analysis PISA 2009 will include an international option for reading electronic texts for the first time Flanders will participate ICT skills are indeed necessary in a knowledge society In addition participation in this option the opportunity to assess the extent to which the student electronic testing is feasible in Flanders without any major expense and risk of a 39 39 full survey 39 39 are applicable p ,['PISA']
5a2b2ea6-5723-4cb7-994e-e0c47627c0f2,Half precessional orbital forcing the Congo Air Boundary and geographical diversity in Africa 39 s post glacial climate history,"['010504', '010701', '010506', '010501', '010702', '010503', '010599', '010103', '029901']", p Documenting the spatial variability of past climate change is critical for understanding how external climate forcing such as long term changes in solar insolation or todayU 43 2019s anthropogenic increase in atmospheric greenhouse gases affect earthU 43 2019s climate at the regional scale In contrast to the data rich middle and high latitudes of the northern hemisphere high quality climate records from equatorial regions are scarce especially from regions with bimodal rainfall seasonality associated with a twice annual overhead passage of the Intertropical Convergence Zone Recent data show that the portion of equatorial Africa situated east of the Congo Air Boundary CAB has experienced a succession of wet and dry periods at half precessional 11 500 year intervals i e twice the frequency common to sub tropical regions north and south of the equator The principal aim of this project is to better constrain the area of East Africa which has experienced this truly low latitude climate history impacted only modestly by the history of northern high latitude glaciation Resolving this question will reveal long term variability in the mean annual position of the CAB and thus in the relative strength of Atlantic and Indian Ocean monsoon circulation during critical time windows in the past This understanding is crucial for improvement of climate models aiming to predict whether East African nations must mainly prepare for higher rainfall or more severe droughts in the next century p ,"['palaeolimnology', 'palaeoclimatology', 'lake sediments', 'Africa', 'climate change']"
654b8119-d0b6-438f-afc6-aae5c9537435,Motivational mHealth intervention for pediatric HIV AIDS patients and their family caregivers to improve antiretroviral medication adherence,"['01020904', '01010304']", p Antiretroviral therapy ART adherence is a major determinant of HIV AIDS prevention and control success Nearly perfect medication adherence 95 is necessary to 1 suppress viral replication and improve immunological and clinical outcomes 2 decrease the risk of developing ARV drug resistance and 3 reduce the risk of transmitting HIV to others However suboptimal adherence to ART is common in all groups of individuals receiving the treatment Average adherence rate is estimated at approximately 70 though there is great variation by the measurement method used and study group Estimations of children and adolescents adherence are highly variable but consistently report incomplete adherence levels ranging from 16 to 100 in low and middle income countries Moreover there is always a big discrepancy between caregiver reported pediatric adherence and objectively measured adherence such as using pill count 93 3 vs 34 8 Various complicated factors influence pediatric ART adherence where some are unique challenges to this group and can be categorized into 1 child characteristics 2 caregiver family characteristics 3 regimen characteristics and 4 society cultural characteristics Family caregivers lived experience of caring for a child with HIV and enrolled on ART is full of burden and they struggle to survive with overwhelming challenges every day Low cost and effective ways of support should be provided both to children and family caregivers considering psychosocial aspects of the disease in addition to the provision of medications and management of the physical disease This study aims to design develop and evaluate a mobile phone based behavioral intervention technology to motivate both pediatric HIV patients and their caregivers in Ethiopia to improve ART adherence Behavioral theories and behavioral change techniques appropriate to the study setting and study group will be identified and applied To ensure personalization and tailoring to patients needs the system will be co designed together with health professionals children and their caregivers through iterative interviews and focus groups Evaluation of the system will be done both by medical professionals and end users An adoption study will also be conducted to analyze whether healthcare professionals as well as children and their caregivers will use the system or not p ,"['persuasive technology', 'mHealth', 'pediatrics ART adherence', 'behavioral theory', 'behavioral change techniques']"
5eefdb98-ba6f-46b3-9f50-c7987eddc263,Between public support and decisiveness a comparative case study of the societal support in decision making processes ,"['050299', '050402', '050601', '050602', '050603', '050604', '050605', '050606', '050607', '050608', '050699']",This project represents a formal research agreement between UA and on the other hand the Province of Antwerp UA provides the Province of Antwerp research results mentioned in the title of the project under the conditions as stipulated in this contract ,"['GOVERNANCE', 'DECISION MAKING']"
eaaa201b-2474-4ddb-b7f5-27a65bd6c309,Extreme imaging of galactic high mass stars,['010301'], p Massive stars are among the most important cosmic engines driving the evolution of galaxies throughout the history of the universe As most of these stars are found in binary and higher multiple systems an accurate knowledge of their multiplicity properties is crucial to understand the role of the massive stars On the one hand the orbital parameter distributions are the tracers of massive star formation On the other hand they determine the frequency of evolved massive binary systems including high mass X ray and double compact binaries Type Ib c supernovae short and long duration gamma ray bursts Unfortunately so far only rudimentary knowledge of the intrinsic distributions of massive binaries is available In this project we undertake a grounbraking observational campaign that will yield unprecedented constraints to massive star formation theories We will perform the highest angular resolution and highest contrast imaging survey ever of a large population of nearby massive stars providing the missing information to achieve a complete and uniform view of their multiplicity properties over the full range relevant to test massive star formation theories Specifically we will explore the range of separations where companions formed by the remnants of the fragmented disk are expected to be found p ,"['Massive star formation', 'Extreme imaging', 'High angular resolution', 'High contrast imaging survey']"
60b415a8-05d4-4449-92b0-44fb50d1aa14,Black Cinemagoing in Interwar New York,"['069902', '050805', '050801', '060104', '050899', '050803', '050204']", p This project aims to re construct the experience of cinema going in black communities of New York during the interwar period In drawing on a plethora of multidisciplinary resources U 43 2013 personal correspondence diary entries cinema records fan letters local news stories and articles from historical black press U 43 2013 it will investigate the roles played by cinema the dominant form of entertainment at the time in shaping the lives of African American women in Harlem p ,"['historical audience studies', 'cinemagoing', 'gender', 'film', 'African American studies']"
8d43fef4-881a-4301-a32b-ca0c8a59323a,A study of semipartial geometries that are linked to an affine space and or a regular automorphism allowed,"['010699', '019999']",geen abstract,[]
93b66108-fa9e-4843-9c98-68be79432140,Exotic sub mesoscopic superconductors ,['010304'],The main goal of the present project is the theoretical description of nano and meso scale phenomena in exotic superconductors with emphasis on multiband MB and noncentrosymmetric NCS superconductivity ,['MESOSCOPIC SUPERCONDUCTORS']
950a3130-5f14-4f6a-9da2-90dff6466e66,N nitrosamines in Dry Fermented Sausages Occurrence and Formation of N nitrosopiperidine,"['040106', '010608', '010611', '030116', '030120', '030616', '030620', '020501', '020601', '020602', '020603', '020699', '020701', '020702', '020799', '010499', '030404', '040101']",The occurrence of carcinogenic i N lt gt nitrosamines in food cannotbe ignored as food safety issue Since the intake of i N lt gt nitrosamine contaminated food may induce all kinds of cancer tumors the presence of these carcinogens must be reduced to the lowest possible concentrations below the limit of detection Also in meat products br i N lt gt Nitrosamines can regularly be detected although mostly in low concentrations Generally it is assumed that i N lt gt nitrosamines are formed by the nitrosation of a secondary amine with a nitrosating agent In dry fermented sausages the nitrosating agent mainly originates from sodium nitrite which is added to the meat as preservative and colouring agent In addition during the fermentation and the subsequent ripening period microorganisms can decarboxylate amino acid to biogenic amines These biogenic amines some of which can cause food poisoning themselves may be transformed to the secondary amines which are the direct precursors of i N lt gt nitrosamines Therefore biogenic amines are considered to be a risk for the formation of i N lt gt nitrosamines in dry fermented sausages However this hypothesis has not been confirmed experimentally yet Therefore the objective of this work was to gain additional insight in the occurrence and formation of N nitrosamines in relation to nitrite and the accumulation ofbiogenic amines in dry fermented sausages More specifically the studywas focused on the mechanism of i N lt gt nitrosopiperidine NPIP formation in a dry fermented sausage model br Firstly a method was optimised for the determination of biogenic amines in dry fermented sausages To increase the sensitivity a derivatisation was necessary Thereforethe commonly used dansylation was compared to an alternative dabsylation procedure The derivatisation with dabsyl chloride was preferred sinceit was realized in 25 min at 70 C instead of 45 min at 40 C which is a substantial time gain The interferences in the chromatogram which originated from the complex protein fat matrix were removed bya solid phase extraction SPE As a result a reliable and sensitive method was developed to determine the biogenic amines i e tryptamine TRYP phenylethylamine PHE putrescine PUT cadaverine CAD histamine HIS serotonin SER tyramine TYR and the natural polyamines spermidine SPD en spermine SPM in dry fermented sausages br Next the concentrations of i N lt gt nitrosamines biogenic amines and residual nitrite were determined in 101 commercial dry fermented sausages which were available on the Belgian market In this way the food safetyof the commercial products in relation to the occurrence of these compounds were assessed In general the product could be considered safe since the concentrations of biogenic amines and i N lt gt nitrosamines remained low Traces of i N lt gt nitrosomorpholine NMOR and NPIP were found in 22 and 28 of the samples respectively In some cases 3 the NPIP concentrations were measured in quantifiable concentrations above the method quantification limit MQL of 2 5 g kg In addition principal component analysis PCA and hierarchical cluster analysis HCA were used in to search for patterns in the occurrence of biogenic amines and i N lt gt nitrosamines in the commercial meat products and their relation with physical and chemical characteristics However no correlation could be observed between the i N lt gt nitrosamine contamination and the amounts of biogenic amines or the physical and chemical characteristics Moreover the contamination with i N lt gt nitrosamines could not be linked to a specific type of dry fermented sausage br To study the i N lt gt nitrosamine formation the use of a dry fermented sausage model produced under strictly controlled conditions Good Manufactruing Practices GMP was preferred In the technicum ofthe Research Group of Technology and Quality of Animal Products a North European type dry fermented sausage was developed The physical pH 61 5 1 and aw 61 0 93 and chemical salt moisture fatand protein content were 3 5 42 9 32 0 and 19 0 g 100g respectively characteristics were comparable with results found for commercial products In addition no extreme biogenic amine accumulation and no N nitrosamine formation was observed during the production of the dry fermentedsausage model Therefore this model was proven to be suitable for the study of the br i N lt gt nitrosamine formation br In the second part of this work the NPIP formation was studied in detail since the commercial samples were mainly contaminated with NPIP br By means of the dry fermented sausage model the role of the biogenic amine CAD and the direct precursor piperidine PIP on the formation of NPIP was studied during the production of dry fermented sausages In this study the influence of pH 4 9 and 5 3 sodium nitrite 0 and 150 mg kg and sodium ascorbate 0 and 500 mg kg was investigated When the meat batter was enriched with CAD 500 mg kg cadaverine dihydrochloride CAD 2HCl no increased NPIP concentrations were observed In contrast the enrichment with PIP 10 and 100 mg kg resulted in an increased NPIP formation On the one hand no effect on the NPIP formation was seen by the small difference in pH On the other hand the NPIP formation was significantly higher when the sausages were prepared with sodium nitrite and when sodium ascorbate was omitted In the case that PIP was present in excessive amounts nitrite could be identified as source of the nitrosating agent Also the role of ascorbate as inhibitor of N nitrosamine formation was confirmed However this effect could only be observed in the beginning of the production since NPIP degraded during the subsequent production phases br In the next part the influence of pH and aw on the NPIP formation was investigated using two protein based liquid systems In the first system NaCl system the NaCl concentration 0 30 was varied to reduce the aw between 0 99 and 0 79 at two pH levels 4 0 and 5 0 Atboth pH levels the reduction of aw resulted in a decreased amount of NPIP However the applied NaCl concentrations necessary for the reduction of aw were much higher than the NaCl content in dry fermented sausages ca 3 As a consequence it was unclear to what extent this effectcould be attributed to the higher ionic strength or the lower aw In a second system PEG system poly ethylene glycol PEG was used to reduce the aw Response surface methodology RSM was applied to evaluate thecombined effect of pH 3 0 7 0 aw 0 80 0 99 and the incubation time 1 3 98 7 h on the NPIP formation It was observed that the NPIPconcentrations increased when the incubation time was longer the aw was higher and the pH was lower The results obtained in the liquid systems contributed to a better understanding of the inhibition of the NPIP formation during the production of dry fermented sausages Hereby the possible NPIP formation partially promoted by a slight acidification during the fermentation is inhibited by the reduction of aw br Finally it was investigated if the presence of NPIP in dry fermented sausages can emanate from the use of NPIP contaminated spices First analytical methods were developed to determine the precursors namely piperine and PIP in the spices Piperine was determined by HPLC DAD 61 343 nm after accelerated solvent extraction ASE with dichloromethane DCM To determine PIP a hydroextraction by means of ASE followed by HPLC ELSD was applied Commonly used spices in dry fermented sausages i e paprika i Capsicum annuum lt gt chilli i Capsicum frutescens lt gt allspice i Pimenta dioica lt gt and nutmeg i Myristica fragrans lt gt contained only traces of both precursors Only in samples of black and white pepper high concentrations of piperine max 21 12 mg g and PIP max 11 42 mg g were measured However the addition of piperine and PIP containing spices in nitrite curing salt mixtures did not always result in the formation of NPIP Only in the mixture containing white pepper a small amount of NPIP 9 8 ng g was detected after a two month storage period However this amount was not sufficient to explain the sporadic occurrence of quantifiable concentrations of NPIP in commercial dry fermented sausages It should be noticed that the storage conditions were optimal and the storage time was relatively short Future studies are needed to reveal if changed storage conditions can result in increased amounts of NPIP in the spice mixtures br The results obtained in this work demonstrated that in general the risk of i N lt gt nitrosamine contamination in dry fermented sausages is low On the one hand it was proven that the accumulation of biogenic amines especially with regard to CAD will not result in the formation of NPIP during the production of dry fermented sausages On the other hand NPIP can be formed from PIP but only when extreme concentrations of PIP are present Common amounts of PIP which can be introduced in the sausage by the additionofPIP containing spices are not a risk for the formation of NPIP The sporadic occurrence of quantifiable concentrations in commercial dry fermented sausages will probably be attributed to the use of highly NPIP contaminated spice mixtures i i i i i i i i i i i i i i i i i i i i ,"['N nitrosamines', 'Fermented sausages']"
6e99dc91-5865-4f6c-9de6-df373d01e54e,Development of a digital platform to learn Dutch ,"['010204', '010299', '050301', '050302', '050304', '050308', '050399', '050802', '050804']",This project represents a formal service agreement between UA and on the other hand KUL UA provides KUL research results mentioned in the title of the project under the conditions as stipulated in this contract ,"['E LEARNING', 'DUTCH LANGUAGE']"
